Order,Planning plant,Material Number,Material description,Batch,MRP controller,Order Type,Order quantity (GMEIN),Unit of measure (=GMEIN),Basic start date,Basic finish date,Production Version
1027359,RB11,RKVV60450-BX000020,VINYLAX-6045,CA9001,F02,PP01,730.000,KG,15-02-19,15-02-19,0001
1027402,RB11,RKA9612BT-BLK01000,ACRYLAX-9612BT,CA9010,F02,PP01,"5,150.000",KG,15-02-19,15-02-19,0002
1027425,RB11,RKVV221G0-DR000100,VINYLAX-221G,CB9003,F02,PP01,"8,659.000",KG,15-02-19,17-02-19,0001
1027426,RB11,RKVV15IM0-DR000100,VINYLAX-15IM,CB9001,F02,PP01,"4,809.700",KG,15-02-19,17-02-19,0001
1027427,RB11,RKA1311H1-DR000200,ACRYLAX-1311H-10,CB9002,F02,PP01,"10,136.600",KG,15-02-19,17-02-19,0002
1027428,RB11,RKA506000-DR000200,ACRYLAX-506,CB9016,F02,PP01,"9,452.560",KG,15-02-19,17-02-19,0001
1027429,RB11,RKA9612BT-BLK06000,ACRYLAX-9612BT,CB9014,F02,PP01,"5,333.200",KG,15-02-19,17-02-19,0001
1027436,RB11,RKOXC2250-BLK01000,ACCOFLOC XC-225,CB9003,F02,PP01,"5,000.000",KG,15-02-19,17-02-19,0001
1027458,RB11,ENFL90900-DR000200,ALMATEX L9090,CB9003,F01,PP01,"7,083.200",KG,15-02-19,17-02-19,0001
1027459,RB11,ENR20N600-DR000200,U-VAN 20N60,CB9038,F01,PP01,"8,573.000",KG,15-02-19,17-02-19,0001
1027468,RB11,RKOSN500A-CN000250,SN-500A,790204W,F01,PP01,"1,275.650",KG,15-02-19,17-02-19,0002
1027469,RB11,RKOSN500A-CN000250,SN-500A,790205W,F01,PP01,"1,275.650",KG,15-02-19,17-02-19,0002
1027478,RB11,RKOXC2250-KY000020,ACCOFLOC XC-225,CA9001,F02,PP01,"1,516.000",KG,15-02-19,15-02-19,0001
1027479,RB11,RKOXC2250-KY000020,ACCOFLOC XC-225,CA9002,F02,PP01,"1,520.000",KG,15-02-19,15-02-19,0001
1027483,RB11,RKA730900-BX000020,ACRYLAX-7309,CB9001,F02,PP01,"2,088.000",KG,15-02-19,15-02-19,0001
1027487,RB11,ENRAO4290-DR000200,U-VAN AO429,CB9001,F01,PP01,226.200,KG,15-02-19,19-02-19,0001
1027489,RB11,RKBB610CT-PB000120,PROMINATE BMST-610CT,CB9019,F01,PP01,"4,000.000",KG,15-02-19,16-02-19,0001
1027499,RB11,ENGAL9039-DR000200,ALMATEX A-9039,CA9001,F02,PP01,400.000,KG,15-02-19,15-02-19,0001
1027501,RB11,ERABW5600-KY000036,STRUCT BOND BW-5600,CA9003,F02,PP01,"1,214.000",KG,15-02-19,15-02-19,0001
1027503,RB11,UGMCM200R-KY000054,COSMONATE M-200,CA9001,F02,PP01,250.000,KG,15-02-19,15-02-19,0001
